,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
197609,   -1.22,    2.26,    3.13,    2.69,    1.79,    3.80,    3.14,    3.33,    0.95,    1.56,    2.34,    3.95,    3.54,    2.78,    3.81,    2.47,    4.44,    1.45,    0.29
197610,   -0.59,   -2.38,   -1.23,   -2.92,   -2.40,   -2.11,   -0.89,   -2.20,   -3.03,   -2.73,   -1.63,   -2.30,   -1.79,   -0.38,   -1.83,   -1.72,   -2.81,   -2.16,   -4.21
197611,   -1.54,   -0.53,    2.56,    2.72,   -0.79,    1.18,    2.32,    2.57,    4.08,   -1.69,    1.34,    0.37,    2.58,    2.71,    1.59,    3.49,    1.41,    4.17,    3.95
197612,   13.31,    4.96,    6.95,    9.16,    4.32,    7.54,    6.32,    8.49,    8.84,    3.58,    6.00,    7.21,    8.09,    5.74,    7.42,    7.74,    9.47,    8.56,    9.24
197701,    3.87,   -6.05,   -1.17,    1.11,   -7.09,   -2.58,   -0.87,   -0.13,    2.30,   -8.00,   -5.06,   -2.53,   -2.66,   -1.24,   -0.16,   -0.17,   -0.07,    1.75,    3.06
197702,   -0.57,   -1.77,   -1.45,   -1.20,   -1.48,   -2.63,   -0.96,   -1.48,   -1.43,   -1.46,   -1.51,   -2.72,   -2.48,   -0.61,   -1.60,   -1.87,   -0.98,   -0.96,   -2.10
197703,    1.33,   -1.61,   -0.42,    0.40,   -1.60,   -1.06,   -0.82,    0.12,    1.38,   -1.66,   -1.47,   -1.65,   -0.07,   -1.11,   -0.30,    0.66,   -0.57,    2.17,    0.25
197704,    5.48,   -1.01,    1.90,    3.60,   -1.83,    1.97,    1.63,    2.94,    3.46,   -2.91,    0.48,    1.74,    2.35,    1.94,    1.05,    2.32,    3.74,    4.23,    2.34
197705,   -4.34,   -1.88,   -0.06,   -0.81,   -2.22,   -0.82,    0.47,   -0.80,   -0.92,   -2.47,   -1.71,   -0.76,   -0.92,    1.20,   -0.88,   -0.88,   -0.69,   -1.11,   -0.64
197706,    8.55,    5.76,    4.05,    5.70,    6.18,    4.50,    3.62,    5.12,    5.85,    6.91,    4.69,    4.38,    4.70,    2.68,    5.42,    4.78,    5.56,    5.24,    6.74
197707,    1.68,   -1.45,   -0.95,   -2.00,   -1.17,   -2.49,   -0.71,   -0.29,   -2.36,   -1.03,   -1.40,   -2.60,   -2.39,   -0.79,   -0.65,    0.52,   -1.61,   -2.19,   -2.62
